user_id,city,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
77d09d7f-a9b1-43b4-a2cc-8958be373a05,columbus,14,1,9,1824
787d4ea4-2003-434d-976e-fd71b79db650,columbus,15,6,6,9564
796cd84e-c15f-491d-8d8c-6ecd0ba103e5,columbus,17,7,50,1347
7a1e584f-b1dc-41a7-9144-1ce00003910f,columbus,1329,239,1308,59242
7aaa7b7e-d72c-4cf0-9889-7c2d2299c49b,columbus,111,68,1654,7872
7ab6a882-345b-4a1b-a132-75f74a9ec31e,columbus,91,31,94,10375
7b8c03f9-5d23-49c1-8e8f-f2e862193b23,columbus,531,312,13,66094
7c811136-cc78-46c2-8bc6-1f87fc071908,columbus,219,54,245,20533
8097dc35-713c-4ce9-9921-8c652e001727,columbus,37,8,50,1730
80a19318-141a-4cea-991e-da865728760e,columbus,104,16,60,1056
81a0e14d-720a-4828-8cd1-dfe548a04eb2,columbus,157,76,266,17602
8344c302-084d-4ec0-a5d9-cccc54fe4292,columbus,29,17,33,2473
8689d0d3-0dbc-4fe5-b3be-25e31d7dc4c7,columbus,1980,409,3512,93540
8e6b131f-17e7-485c-9314-ca5a4fc9f580,columbus,21,4,0,2760
8ec6402e-cc6e-4e4e-b652-21c579d5ce93,columbus,91,19,0,9369
8f1deba6-6c49-4660-b11c-80c0ea2abcd8,columbus,67,39,210,9156
90e82ba3-04d6-4ad0-be76-3fcdd8f11f1b,columbus,122,37,78,12879
91a21738-b75d-4d8d-992b-95f64b0b1831,columbus,44,19,587,8771
9236bc61-60ef-4d3e-8a6f-f1679d3d71aa,columbus,1528,390,21,65787
966e6872-dae8-46fd-b649-32ebbba3c203,columbus,191,46,183,25287
99365ef9-a45f-44fb-be16-db237f14c6d5,columbus,60,39,172,10764
99460835-7662-497d-877c-989dcaf1019b,columbus,17,8,78,3573
99c61b9e-7c54-495e-9582-7939ed9cc73c,columbus,238,91,32,8975
9b0bf314-075f-45de-8ba5-268c50fd2b42,columbus,56,13,178,13459
9c625825-501e-4ef9-beef-da88e69ba293,columbus,36,14,231,2412
9d616b57-535a-4fc1-a4f0-ca05871cc542,columbus,11,3,0,1987
9eca3d04-f528-455d-876e-346648ddf79e,columbus,140,32,0,9997
9f908df0-c9cc-4a3a-9bc0-b48521daf1c9,columbus,9,6,8,1634
a4e539c6-693c-478a-94fa-d92de7b4ca39,columbus,72,27,5,8833
a6b8ddb9-1f35-4c66-89e0-e230e2d8db9f,columbus,497,235,3576,27472
a705ab31-149b-4412-8b18-28cde1dfce0b,columbus,21,10,14,4413
a7451593-c6d2-4701-9b48-5013d1ae5577,columbus,74,29,0,9150
a82b57a4-2b61-44ba-a3d8-ff3415cee0c9,columbus,317,65,0,10569
a9c8cf89-e859-40ff-8bda-9c3ba1522ef2,columbus,153,48,146,37470
aa6eddb3-d2ef-4dc8-b041-65d55cdc2f81,columbus,316,106,1502,22641
ace92302-8643-4e73-ac68-e48ceb6f80c3,columbus,81,33,20,7548
af374126-baf4-4b15-8d29-62cdbee71e62,columbus,19,9,84,2002
b0e512cd-7df2-43c5-b0a7-8264b917efe3,columbus,360,144,196,43457
b1697bbc-ab09-4839-ab8e-eeb6798b7379,columbus,222,59,5,17376
b2c86ec3-cc00-4ee0-9bd4-72b6836cb935,columbus,3219,1713,15894,216116
b3266a47-9a43-41c1-9ec2-ce0dff1b5a11,columbus,111,43,1,17157
b930e14d-51d2-40ea-b623-094ce61f9d0d,columbus,224,42,7,20774
bae17209-0c87-437f-b46f-826ac24d7173,columbus,56,18,583,8294
bb2676e1-4ecd-4197-9b70-a8b8776c14ca,columbus,62,32,0,12859
bc6d0b80-1bd1-4730-a211-62112f720201,columbus,2091,954,513,187876
c3f6bf5e-5427-42ac-8383-ec0e1e2b1c87,columbus,104,65,0,24890
c4b2284e-7e04-46cc-8d8b-4a13241f7cbc,columbus,344,78,296,17560
c582daff-fd4a-4429-b696-b43d7a54e1fe,columbus,28,15,36,3487
c71b4c8e-d548-4cf6-901a-23c773ac9cc9,columbus,53,26,313,19053
c941d776-d191-4855-acb5-e7362a7a0725,columbus,171,61,249,29566
c977aa89-137d-4818-aaa1-b8ceed264133,columbus,2181,757,489,138272
cb87e723-93aa-4d99-ab1b-55b07e8124ef,columbus,38,10,74,1303
cba5572a-5812-4e18-ab3c-ce28d3e89ec9,columbus,974,487,1332,156049
cf36b9b9-9c77-473b-a152-b3b47d8d3db5,columbus,30,9,222,2649
