user_id,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
a099e5dc-a57f-43e9-98eb-7d78bebc02e3,263,8,366,16504
a09a1c86-6e6f-407a-bfe8-c0f314c21bad,199,32,16,4772
a148b479-e226-4321-a22c-18424153c2fb,274,111,57,11283
a15fc20f-a4e9-49e4-b4bb-5376c4a89615,105,65,516,15821
a1798b4c-3510-4d81-b2c4-57b82cca3630,31,12,47,4499
a2a3e73f-7944-48a7-bfa1-d85208459224,47,7,84,6462
a3195db2-6d17-43d8-9ebc-f96dd1ddefe1,56,28,61,5756
a3270504-0c49-4024-9c8e-331d2b2cd666,30,11,0,3262
a38eadfe-8227-40e7-bdef-9a3a682acbdf,42,14,0,12193
a4d72d1d-009c-46f9-8d86-557a74a8174a,63,9,234,2201
a4e1a018-2455-442b-82cf-f7ff8a90a19f,21,15,0,10755
a512d90a-b5b4-4172-88c8-4106805800ff,159,52,351,7233
a5f53cea-e024-4682-b18f-d8d3a8368e80,17,3,41,2954
a65327dd-dc7b-4983-83b2-07cd2c3de53a,54,19,982,11511
a7cd4760-382e-4256-9305-5b11e008830d,90,20,95,10832
a7fd02fb-70ee-4683-b8f8-b7c9351128b4,43,16,493,9237
a81cdd43-4f7c-4e9a-91b4-24157797c974,104,20,4,8607
a8df69ee-d0eb-4d33-a99a-719d04679e0a,36,8,21,5129
aaca07f6-7231-48c0-932a-37946f1b8009,21,6,49,4847
aaf5f6c2-5453-4f2b-b0f4-344848f40f29,45,18,10,4849
ac272eb8-3bb3-4260-9960-8e6c463f3867,1237,382,1534,119807
ad4fb5be-c7ff-43f2-a06a-d019fd59f5e2,25,9,54,6487
ad77309c-011b-4a83-bffd-5b1a8f5c7b35,19,2,293,2364
af692260-8014-4357-8aba-9f479bf51482,45,15,0,7028
af812204-1521-4c42-bf88-4baaaffe3f06,9539,2507,16012,280951
af8d0c23-184c-42c5-802a-6c88e41becfd,70,20,32,7088
afce2706-3799-415c-8639-fdee81935579,58,14,4,6553
afe03cd4-d05b-4c17-931c-33e0feff914d,21,12,7,3533
afe1b8f5-4151-4c4b-ae5e-4afc5f782cf3,56,8,63,1138
b0befb65-23c4-442f-8e83-e227cc0a6b15,616,123,871,28571
b107394d-f80c-4d4e-8bf1-2290cacf3822,42,20,131,3208
b267facb-5465-4aa0-9890-80ca03b90275,75,17,380,3295
b283b7bd-07ef-4fa0-855b-7019c621853e,26,11,7,4971
b33086d8-7aa0-43f5-ad67-b88a793831f0,85,10,26,3253
b4095f4a-a44c-409a-abd7-d8714f610073,60,15,341,6122
b649a20a-a7c0-4f3c-b78e-732528dcd2cd,76,13,96,6420
b6cfb689-324a-4d27-8e0e-7a98c543936c,22,5,73,2550
b7d03a6f-5e20-49a1-8292-0e181d2a563f,23,16,2,261
ba0d1560-1cc0-4e9a-91a8-c3e8aebbdc83,30,13,4,3470
bb64c416-b0bb-4a5b-b369-00f2a56fea3a,2480,582,1278,94899
bca24c1a-a6b1-4625-ab8e-9ff8693022d7,6273,2995,8043,255912
bcab54f5-6904-4931-94c2-c58a404e4896,41,13,68,2297
bd1cdb42-d1ef-4ec4-90b7-e6ac5679ab63,35,9,95,2939
bd756ec3-bc62-4fd5-ab06-d0267699a164,21,4,0,4798
bebca9f7-b135-44aa-984a-f7b0d39dfee3,24,13,24,1952
bef7550b-076a-4391-89d0-9665c4bdce5f,77,27,281,10130
bf16418a-4c99-4fd6-99c6-7e8b40fbe17b,4140,1019,11155,195294
c0ed3c03-a927-47ad-8185-af5b023ee6ee,23,8,0,573
c22f6bcb-2f02-4406-bc6e-1b9399072fe7,21,3,0,1458
c2a98ae5-8471-4235-9c8b-bc77bc2865c5,20,8,59,3526
c3adb148-32d0-4af8-b1af-321455c731b6,53,25,96,7701
c4032a46-55e1-45f0-9a2e-c49d1306632e,57,7,81,6538
c4ba4d40-3811-4e61-9326-528e8f4d220e,26,10,82,6772
c628bd0b-9d28-43d2-8cf2-7d704f1de4d8,139,17,37,2274
c7190807-b56e-40c5-b96e-49dc8368328c,420,176,157,41380
c71dbfde-d9cf-480a-88f6-11468717d691,33,16,83,1305
c72967e0-462e-478c-a30b-9b983a2591a5,58,23,199,8832
c742c954-90f2-4979-a287-0a61b16db5ab,25,12,354,5926
c83aa162-6050-448a-91e1-f5ab91d32809,63,27,43,12560
c999700a-b593-41f2-89d7-9650e04068dc,34,7,157,3814
c9a73ea7-6f03-44a9-b292-8632c377ae3e,16,8,0,1317
cae0bf84-5439-43b4-be39-af7861423fdd,92,16,30,7622
cb98e9ec-062d-44e1-a377-1b1b3016ae8d,22,5,1,1347
cba95ec1-1409-4c58-924b-fac13ed45679,33,2,0,3430
cbdba4bd-c537-46c1-b08d-fff21c52fa3f,17,5,0,9220
cc752440-fd42-4e58-bc62-e7bb3cc8e62d,16,4,9,2270
ce2a540c-1519-4be2-9d19-c57872816314,76,19,63,5730
ce5bfe65-0ea0-46e8-abac-14e38290f995,17,3,0,457
ce84196c-45fe-435d-854c-99986e2ac9c4,160,50,256,18987
