user_id,n_pano_visited,n_pano_with_label,n_keyboard_interaction,n_pan_interaction
b05dcb1f-1a51-459b-9a85-5bda60c565fb,49,18,0,13558
b116d49b-40ba-48a7-8087-94fcbe71174e,117,37,219,14949
b14967a0-1f55-4e0c-9181-19724e34956b,551,114,680,22419
b256791c-1bcc-4adc-8f01-835e0ea37ec9,57,26,10,5358
b2629779-3964-4d17-913e-658bee5ee012,29,14,0,5372
b2c26128-d9b6-4940-962e-5626d867eda8,188,117,84,27702
b2c92d95-0192-4bda-89fe-c441a93c769a,88,14,5,1401
b315f4de-7575-4360-8b3b-66f1616ec99a,14,10,0,4741
b3994526-c15b-41ea-9284-d76aa69ccfba,443,119,32,20870
b41cdb6b-bdd3-4501-a1a3-0bd1893429a6,1038,116,59,21106
b425db26-5fdb-4003-bcc9-bc9621b70bbc,369,230,25,41372
b45f1314-92aa-42c3-b13b-826e249b108c,20,6,0,1343
b4c3468f-f471-428c-b419-fd1d2c5e6838,148,24,8,17811
b5b4b187-df4e-4c40-b0a7-2afc46cc82e1,245,64,420,22321
b840a447-b799-4e19-94ed-eb86ccbfed38,2771,766,1403,34839
b8c88981-8a2f-4a55-9a1e-4536c86d1395,13,8,18,1852
b9589be7-f706-45d1-882e-750235218da0,40,22,43,5005
bb737a34-cb42-4665-81a4-a164b5355a57,384,230,342,32334
bca08e79-6404-494d-bd64-4d9fa11acb6a,58,13,0,11549
bce2b9d3-dcca-4b71-abbb-7b2d9284871c,300,154,48,39027
be8d6327-4cec-458b-a021-b5e9fdb7dd88,910,165,6,22877
bf4907d4-c367-4bfc-acee-eb06a0847f6d,22,9,0,2989
bf8482b3-ffd4-4b17-9b57-467cbf21791a,18,12,0,2494
bf8692de-bac0-46ae-81e0-8078abf6f9ce,70,13,74,9771
bfc117dd-a612-40ff-81c8-229795e0933f,2645,1934,17,198253
c08953ce-4b3d-461c-9c1e-57122f2fd5e2,34,13,8,3602
c0feb5b0-7091-46b0-8dfd-ef189c6c777a,57,32,27,2383
c17972e9-1613-433b-9807-d455a7a1c758,65,35,675,16471
c33e9340-f215-451a-819c-9824382660ec,177,35,3,11335
c3455385-a226-4366-9745-9681ec9a11b8,272,152,109,19384
c419e83c-ae76-4ce5-8e46-8460405ae704,11,7,6,503
c736b452-a909-4bb1-b945-d633a77114e1,138,12,19,5120
c7ad7143-7e23-4f1a-9ba8-fb1b8b0d7669,719,324,851,52478
c972327b-63e6-4f6e-86bb-200f180931c5,637,269,1492,98160
cbbd5753-9512-48da-a947-30f3371a0268,55,8,21,1639
ce727561-825f-40a6-98d3-2c53516d3c15,1093,418,137,50916
cf2bd96f-d186-4682-9fc6-06ccb4df0a24,18,6,1,5648
d01d4bff-b5fa-47e4-82ef-d42b5da212e3,120,58,40,15308
d0a65425-d3a7-4d4a-87bb-cf7534d90203,937,431,437,74175
d4822f98-f429-42e2-94b5-1dbd42aa9b22,79,54,161,20018
d6fec29d-d421-4684-a14d-29033cb248e4,66,33,66,15200
d8c844fb-160d-43fc-8601-d5614ae62239,45,20,15,5405
d939902d-d3c0-4795-96e6-fc68db43b1b0,34,11,3,2766
d9ea24cf-dbed-426f-8f09-b96e2cce31b1,36,18,28,5936
da3cd84c-6b10-4319-a08c-cea1b1dc12fe,1161,347,338,69706
